scenario.id;scenario.long_name;scenario.description;scenario.unique_name
1;Все значения;Все возможные значения;всего
2;расчет;расчетный ряд данных;calc
3;факт;ряд фактических данных;fact
4;верхние границы;верхняя граница расчетного ряда данных;high
5;нижние границы;нижняя граница расчетного ряда данных;low
6;рабочий;гибрид расчетного и фактического ряда данных (присутствуют все имеющиеся фактические значения, а на те года где нет фактических значений даны расчетные значения);use
7;динамический;динамический (взаимосвязанный) расчет;dyn
8;целевой;целевые(плановые) значения;target
9;доля исполнения;доля исполнения плановых значений;share
10;нормы РНГП;нормы РНГП;RNGP
11;эффект от инвестиционного проекта;эффект от инвестиционного проекта;effect
12;текущие инвестиции до завершения проекта;текущие инвестиции до завершения проекта;project
