id,long_name,description,unique_name,eng_name;
59,NA,NA,"Тыс. куб. м",NA
60,NA,NA,"Тыс. тонн",NA
61,"Тонна условного топлива","ТЭБ - топливно-энергетические балансы","т.у.т.",NA
62,"Тысяч тонн условного топлива","ТЭБ - топливно-энергетические балансы","тыс. т.у.т.",NA
64,"","","час","hour"
1,NA,NA,"лет","years"
2,NA,NA,"%, г/г","%, y/y"
3,NA,NA,"%","%"
4,NA,NA,"ед.","units."
5,NA,NA,"баллы","scores"
6,NA,NA,"тысяч человек","thousand persons"
7,NA,NA,"миллион рублей","million rubles"
8,NA,NA,"промилле","ppm"
9,NA,NA,"км","km"
10,NA,NA,"тысяч км","thousand km"
11,NA,NA,"тысяч км2","thousand km2"
12,NA,NA,"тысяч рублей","thousand rubles"
13,NA,NA,"человек","man"
14,NA,NA,"м2","м2"
15,NA,NA,"семей","families"
16,NA,NA,"тонн","tons"
17,NA,NA,"м3","м3"
18,NA,NA,"мест","seats"
19,NA,NA,"метр","meter"
20,NA,NA,"рублей","rubles"
21,NA,NA,"км2","km2"
22,NA,NA,"посещ./смена","visits per shift"
23,NA,NA,"тысяч руб./чел.","thousand rubles/person"
25,NA,NA,"кВт.час/чел","kWh/person"
27,NA,NA,"м3/чел","m3/person"
28,NA,NA,"руб. в год","rub. per year"
29,NA,NA,"руб. / $","rub./$"
30,NA,NA,"долларов","dollars"
31,NA,NA,"-","-"
32,NA,NA,"шт.","pcs."
33,NA,NA,"кв.м./1000 чел.","sq.m./1000 people."
34,NA,NA,"кв.м.","sq.m."
35,NA,NA,"h","h"
36,NA,NA,"в соотв.ед.изм.","in cor. unit."
37,NA,NA,"ед.изм./чел.","unit/person."
38,NA,NA,"ед.изм./год","unit/year"
39,NA,NA,"руб./руб.","rub./rub."
40,NA,NA,"руб./чел.","rub./person"
41,NA,NA,"кв.м./чел.","sq.m./person."
42,NA,NA,"руб./ед.изм.","rub./ed."
43,NA,NA,"отрасл. ед.","industry unit."
44,NA,NA,"руб./ед.","rub./each."
45,NA,NA,"га","ha"
46,NA,NA,"кг","kg"
47,NA,NA,"шт./чел.","pcs./person"
48,NA,NA,"коек","beds"
49,NA,NA,"шт./1000 чел.","pcs./1000 persons."
50,NA,NA,"чел./ед.","people/unit."
51,NA,NA,"кг/чел.","kg/person."
52,NA,NA,"рождений/1000 чел.","births/1000 people."
53,"Коэффициент перевода","используется для перевода одних единиц в другие (например площадь больницы в койки)","коэффициент","coefficient"
54,NA,NA,"чел./место","person/place"
55,NA,NA,"чел./день","man/day"
24,NA,NA,"кв.м/чел.","sq.m./person."
26,NA,NA,"Гкал/кв.м","Gcal/sq.m"
56,NA,NA,"мест/1000 чел.","places/1000 persons."
57,NA,NA,"долларов/чел.","US$/person"
58,NA,NA,"долларов на домохозяйство","Dollars per household"
65,"","","минут","minutes"
66,"","транспорт","рублей / человек-час","rubles/(man*hour)"
67,"","транспорт","рублей/км","rubles/km"
63,"","транспорт","миллион рублей/ед.изм( место, пассажир..)","million rubles per unit( seat, passenger)"
68,"","транспорт","миллион рублей/ пассажиро-км","million rubles/passenger-km"
69,"","1. Строительство новой дороги
2. Реконструкция существующей дороги
3. Проект без дорожного строительства и реконструкции
","тип проекта","project type"
70,"пассажиро-км",NA,"чел.*км.","person*km"
71,NA,NA,"миллион руб/км","million rub/km"
